Unnamed: 0,Gene,sox2,gata1a,foxh1,sall4,nanog,smad2,rad21a,eomesa,ctcf,hif1ab,pou5f1,rnf2,tbxta,zic3,tbx6,sox10,tbx16,ensembl_id
245,tor1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000077950
246,racgap1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000015460
247,znf1028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSDARG00000088331
248,add3a,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,ENSDARG00000040874
249,cplx4c,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ENSDARG00000094889
250,fndc1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000002847
251,srsf10b,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,ENSDARG00000086411
252,nudt12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000100813
253,cdk17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ENSDARG00000079470
254,her8a,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSDARG00000016363
