Gene ID,Majority detection flag
ENSG00000070182,present
ENSG00000070190,present
ENSG00000070193,present
ENSG00000070214,present
ENSG00000070269,present
ENSG00000070366,present
ENSG00000070367,present
ENSG00000070371,present
ENSG00000070388,present
ENSG00000070404,present
ENSG00000070413,present
ENSG00000070423,present
ENSG00000070444,present
ENSG00000070476,present
ENSG00000070495,present
ENSG00000070501,present
ENSG00000070526,present
ENSG00000070540,present
ENSG00000070601,present
ENSG00000070610,present
ENSG00000070614,present
ENSG00000070669,present
ENSG00000070718,present
ENSG00000070729,present
ENSG00000070731,present
ENSG00000070748,absent
ENSG00000070756,present
ENSG00000070759,present
ENSG00000070761,present
ENSG00000070770,present
ENSG00000070778,present
ENSG00000070785,present
ENSG00000070808,present
ENSG00000070814,present
ENSG00000070831,present
ENSG00000070882,present
ENSG00000070886,absent
ENSG00000070915,present
ENSG00000070950,present
ENSG00000070961,present
ENSG00000070985,absent
ENSG00000071051,present
ENSG00000071054,present
ENSG00000071073,present
ENSG00000071082,present
ENSG00000071127,present
ENSG00000071189,present
ENSG00000071203,present
ENSG00000071205,present
ENSG00000071242,present
ENSG00000071243,present
ENSG00000071246,present
ENSG00000071282,present
ENSG00000071462,present
ENSG00000071537,present
ENSG00000071539,present
ENSG00000071553,present
ENSG00000071564,present
ENSG00000071575,present
ENSG00000071626,present
ENSG00000071655,present
ENSG00000071677,absent
ENSG00000071794,present
ENSG00000071859,present
ENSG00000071889,present
ENSG00000071894,present
ENSG00000071909,present
ENSG00000071967,present
ENSG00000071991,present
ENSG00000071994,present
ENSG00000072041,present
ENSG00000072042,present
ENSG00000072062,present
ENSG00000072071,present
ENSG00000072080,absent
ENSG00000072110,present
ENSG00000072121,present
ENSG00000072133,present
ENSG00000072134,present
ENSG00000072135,present
ENSG00000072163,present
ENSG00000072182,absent
ENSG00000072195,present
ENSG00000072201,present
ENSG00000072210,present
ENSG00000072274,present
ENSG00000072310,present
ENSG00000072315,absent
ENSG00000072364,present
ENSG00000072401,present
ENSG00000072415,present
ENSG00000072422,present
ENSG00000072501,present
ENSG00000072506,present
ENSG00000072518,present
ENSG00000072571,present
ENSG00000072609,present
ENSG00000072657,present
ENSG00000072682,present
ENSG00000072694,present
ENSG00000072736,present
ENSG00000072756,present
ENSG00000072778,present
ENSG00000072786,present
ENSG00000072803,present
ENSG00000072818,present
ENSG00000072832,present
ENSG00000072840,present
ENSG00000072849,present
ENSG00000072858,present
ENSG00000072864,present
ENSG00000072952,present
ENSG00000072954,present
ENSG00000072958,present
ENSG00000073008,present
ENSG00000073050,present
ENSG00000073060,present
ENSG00000073067,present
ENSG00000073111,present
ENSG00000073146,present
ENSG00000073150,present
ENSG00000073169,present
ENSG00000073282,present
ENSG00000073331,present
ENSG00000073350,present
ENSG00000073417,present
ENSG00000073464,present
ENSG00000073536,present
ENSG00000073578,present
ENSG00000073584,present
ENSG00000073598,present
ENSG00000073605,present
ENSG00000073614,present
ENSG00000073670,present
ENSG00000073711,present
ENSG00000073712,present
ENSG00000073734,present
ENSG00000073737,present
ENSG00000073754,absent
ENSG00000073756,present
ENSG00000073792,present
ENSG00000073803,present
ENSG00000073849,present
ENSG00000073861,present
ENSG00000073905,absent
ENSG00000073910,present
ENSG00000073921,present
ENSG00000073969,present
ENSG00000074047,present
ENSG00000074054,present
ENSG00000074071,present
ENSG00000074181,present
ENSG00000074201,present
ENSG00000074211,present
ENSG00000074219,present
ENSG00000074266,present
ENSG00000074276,present
ENSG00000074317,absent
ENSG00000074319,present
ENSG00000074356,present
